Neuron Group,Neuron ID,Spike Count,Firing Rate (Hz),Burst Count
Purkinje,Purkinje 1,41,0.41,41
Purkinje,Purkinje 2,40,0.4,40
Purkinje,Purkinje 3,40,0.4,40
Purkinje,Purkinje 4,40,0.4,40
Purkinje,Purkinje 5,42,0.42,42
Purkinje,Purkinje 6,41,0.41,41
Purkinje,Purkinje 7,43,0.43,43
Purkinje,Purkinje 8,40,0.4,40
Purkinje,Purkinje 9,42,0.42,42
Purkinje,Purkinje 10,41,0.41,41
Purkinje,Purkinje 11,42,0.42,42
Purkinje,Purkinje 12,41,0.41,41
Purkinje,Purkinje 13,41,0.41,41
Purkinje,Purkinje 14,41,0.41,41
Purkinje,Purkinje 15,40,0.4,40
Purkinje,Purkinje 16,41,0.41,41
Purkinje,Purkinje 17,42,0.42,42
Purkinje,Purkinje 18,43,0.43,43
Purkinje,Purkinje 19,41,0.41,41
Purkinje,Purkinje 20,41,0.41,41
DCN,DCN 1,18,0.18,18
DCN,DCN 2,66,0.66,66
DCN,DCN 3,50,0.5,50
DCN,DCN 4,61,0.61,61
DCN,DCN 5,65,0.65,65
DCN,DCN 6,49,0.49,49
DCN,DCN 7,52,0.52,52
DCN,DCN 8,37,0.37,37
DCN,DCN 9,56,0.56,56
DCN,DCN 10,60,0.6,60
Thalamus,Thalamus 1,34,0.34,34
Thalamus,Thalamus 2,34,0.34,34
Thalamus,Thalamus 3,34,0.34,34
Thalamus,Thalamus 4,34,0.34,34
Thalamus,Thalamus 5,34,0.34,34
Thalamus,Thalamus 6,34,0.34,34
Thalamus,Thalamus 7,34,0.34,34
Thalamus,Thalamus 8,34,0.34,34
Thalamus,Thalamus 9,34,0.34,34
Thalamus,Thalamus 10,34,0.34,34
MotorCortex,MotorCortex 1,17,0.17,17
MotorCortex,MotorCortex 2,17,0.17,17
MotorCortex,MotorCortex 3,17,0.17,17
MotorCortex,MotorCortex 4,17,0.17,17
MotorCortex,MotorCortex 5,17,0.17,17
MotorCortex,MotorCortex 6,17,0.17,17
MotorCortex,MotorCortex 7,17,0.17,17
MotorCortex,MotorCortex 8,17,0.17,17
MotorCortex,MotorCortex 9,17,0.17,17
MotorCortex,MotorCortex 10,17,0.17,17
MotorCortex,MotorCortex 11,17,0.17,17
MotorCortex,MotorCortex 12,17,0.17,17
MotorCortex,MotorCortex 13,17,0.17,17
MotorCortex,MotorCortex 14,17,0.17,17
MotorCortex,MotorCortex 15,17,0.17,17
MotorCortex,MotorCortex 16,17,0.17,17
MotorCortex,MotorCortex 17,17,0.17,17
MotorCortex,MotorCortex 18,17,0.17,17
MotorCortex,MotorCortex 19,17,0.17,17
MotorCortex,MotorCortex 20,17,0.17,17
Corticospinal,Corticospinal 1,17,0.17,17
Corticospinal,Corticospinal 2,17,0.17,17
Corticospinal,Corticospinal 3,17,0.17,17
Corticospinal,Corticospinal 4,17,0.17,17
Corticospinal,Corticospinal 5,17,0.17,17
Corticospinal,Corticospinal 6,17,0.17,17
Corticospinal,Corticospinal 7,17,0.17,17
Corticospinal,Corticospinal 8,17,0.17,17
Corticospinal,Corticospinal 9,17,0.17,17
Corticospinal,Corticospinal 10,17,0.17,17
Corticospinal,Corticospinal 11,17,0.17,17
Corticospinal,Corticospinal 12,17,0.17,17
Corticospinal,Corticospinal 13,17,0.17,17
Corticospinal,Corticospinal 14,17,0.17,17
Corticospinal,Corticospinal 15,17,0.17,17
Corticospinal,Corticospinal 16,17,0.17,17
Corticospinal,Corticospinal 17,17,0.17,17
Corticospinal,Corticospinal 18,17,0.17,17
Corticospinal,Corticospinal 19,17,0.17,17
Corticospinal,Corticospinal 20,17,0.17,17
Corticospinal,Corticospinal 21,17,0.17,17
Corticospinal,Corticospinal 22,17,0.17,17
Corticospinal,Corticospinal 23,17,0.17,17
Corticospinal,Corticospinal 24,17,0.17,17
Corticospinal,Corticospinal 25,17,0.17,17
Corticospinal,Corticospinal 26,17,0.17,17
Corticospinal,Corticospinal 27,17,0.17,17
Corticospinal,Corticospinal 28,17,0.17,17
Corticospinal,Corticospinal 29,17,0.17,17
Corticospinal,Corticospinal 30,17,0.17,17
Corticospinal,Corticospinal 31,17,0.17,17
Corticospinal,Corticospinal 32,17,0.17,17
Corticospinal,Corticospinal 33,17,0.17,17
Corticospinal,Corticospinal 34,17,0.17,17
Corticospinal,Corticospinal 35,17,0.17,17
Corticospinal,Corticospinal 36,17,0.17,17
Corticospinal,Corticospinal 37,17,0.17,17
Corticospinal,Corticospinal 38,17,0.17,17
Corticospinal,Corticospinal 39,17,0.17,17
Corticospinal,Corticospinal 40,17,0.17,17
