Neuron Group,Neuron ID,Spike Count,Firing Rate (Hz),Burst Count
Purkinje,Purkinje 1,41,0.41,41
Purkinje,Purkinje 2,42,0.42,42
Purkinje,Purkinje 3,41,0.41,41
Purkinje,Purkinje 4,41,0.41,41
Purkinje,Purkinje 5,41,0.41,41
Purkinje,Purkinje 6,41,0.41,41
Purkinje,Purkinje 7,42,0.42,42
Purkinje,Purkinje 8,41,0.41,41
Purkinje,Purkinje 9,41,0.41,41
Purkinje,Purkinje 10,42,0.42,42
Purkinje,Purkinje 11,40,0.4,40
Purkinje,Purkinje 12,42,0.42,42
Purkinje,Purkinje 13,41,0.41,41
Purkinje,Purkinje 14,41,0.41,41
Purkinje,Purkinje 15,40,0.4,40
DCN,DCN 1,39,0.39,39
DCN,DCN 2,48,0.48,48
DCN,DCN 3,34,0.34,34
DCN,DCN 4,47,0.47,47
DCN,DCN 5,55,0.55,55
DCN,DCN 6,47,0.47,47
DCN,DCN 7,44,0.44,44
DCN,DCN 8,47,0.47,47
DCN,DCN 9,52,0.52,52
DCN,DCN 10,44,0.44,44
Thalamus,Thalamus 1,30,0.3,30
Thalamus,Thalamus 2,30,0.3,30
Thalamus,Thalamus 3,30,0.3,30
Thalamus,Thalamus 4,30,0.3,30
Thalamus,Thalamus 5,30,0.3,30
Thalamus,Thalamus 6,30,0.3,30
Thalamus,Thalamus 7,30,0.3,30
Thalamus,Thalamus 8,30,0.3,30
Thalamus,Thalamus 9,30,0.3,30
Thalamus,Thalamus 10,30,0.3,30
MotorCortex,MotorCortex 1,15,0.15,15
MotorCortex,MotorCortex 2,15,0.15,15
MotorCortex,MotorCortex 3,15,0.15,15
MotorCortex,MotorCortex 4,15,0.15,15
MotorCortex,MotorCortex 5,15,0.15,15
MotorCortex,MotorCortex 6,15,0.15,15
MotorCortex,MotorCortex 7,15,0.15,15
MotorCortex,MotorCortex 8,15,0.15,15
MotorCortex,MotorCortex 9,15,0.15,15
MotorCortex,MotorCortex 10,15,0.15,15
MotorCortex,MotorCortex 11,15,0.15,15
MotorCortex,MotorCortex 12,15,0.15,15
MotorCortex,MotorCortex 13,15,0.15,15
MotorCortex,MotorCortex 14,15,0.15,15
MotorCortex,MotorCortex 15,15,0.15,15
MotorCortex,MotorCortex 16,15,0.15,15
MotorCortex,MotorCortex 17,15,0.15,15
MotorCortex,MotorCortex 18,15,0.15,15
MotorCortex,MotorCortex 19,15,0.15,15
MotorCortex,MotorCortex 20,15,0.15,15
Corticospinal,Corticospinal 1,15,0.15,15
Corticospinal,Corticospinal 2,15,0.15,15
Corticospinal,Corticospinal 3,15,0.15,15
Corticospinal,Corticospinal 4,15,0.15,15
Corticospinal,Corticospinal 5,15,0.15,15
Corticospinal,Corticospinal 6,15,0.15,15
Corticospinal,Corticospinal 7,15,0.15,15
Corticospinal,Corticospinal 8,15,0.15,15
Corticospinal,Corticospinal 9,15,0.15,15
Corticospinal,Corticospinal 10,15,0.15,15
Corticospinal,Corticospinal 11,15,0.15,15
Corticospinal,Corticospinal 12,15,0.15,15
Corticospinal,Corticospinal 13,15,0.15,15
Corticospinal,Corticospinal 14,15,0.15,15
Corticospinal,Corticospinal 15,15,0.15,15
Corticospinal,Corticospinal 16,15,0.15,15
Corticospinal,Corticospinal 17,15,0.15,15
Corticospinal,Corticospinal 18,15,0.15,15
Corticospinal,Corticospinal 19,15,0.15,15
Corticospinal,Corticospinal 20,15,0.15,15
Corticospinal,Corticospinal 21,15,0.15,15
Corticospinal,Corticospinal 22,15,0.15,15
Corticospinal,Corticospinal 23,15,0.15,15
Corticospinal,Corticospinal 24,15,0.15,15
Corticospinal,Corticospinal 25,15,0.15,15
Corticospinal,Corticospinal 26,15,0.15,15
Corticospinal,Corticospinal 27,15,0.15,15
Corticospinal,Corticospinal 28,15,0.15,15
Corticospinal,Corticospinal 29,15,0.15,15
Corticospinal,Corticospinal 30,15,0.15,15
Corticospinal,Corticospinal 31,15,0.15,15
Corticospinal,Corticospinal 32,15,0.15,15
Corticospinal,Corticospinal 33,15,0.15,15
Corticospinal,Corticospinal 34,15,0.15,15
Corticospinal,Corticospinal 35,15,0.15,15
Corticospinal,Corticospinal 36,15,0.15,15
Corticospinal,Corticospinal 37,15,0.15,15
Corticospinal,Corticospinal 38,15,0.15,15
Corticospinal,Corticospinal 39,15,0.15,15
Corticospinal,Corticospinal 40,15,0.15,15
