Neuron Group,Neuron ID,Spike Count,Firing Rate (Hz),Burst Count
Purkinje,Purkinje 1,49,0.49,49
Purkinje,Purkinje 2,49,0.49,49
Purkinje,Purkinje 3,49,0.49,49
Purkinje,Purkinje 4,49,0.49,49
Purkinje,Purkinje 5,49,0.49,49
Purkinje,Purkinje 6,49,0.49,49
Purkinje,Purkinje 7,49,0.49,49
Purkinje,Purkinje 8,49,0.49,49
Purkinje,Purkinje 9,49,0.49,49
Purkinje,Purkinje 10,49,0.49,49
Purkinje,Purkinje 11,49,0.49,49
Purkinje,Purkinje 12,49,0.49,49
Purkinje,Purkinje 13,49,0.49,49
Purkinje,Purkinje 14,49,0.49,49
Purkinje,Purkinje 15,49,0.49,49
DCN,DCN 1,41,0.41,41
DCN,DCN 2,41,0.41,41
DCN,DCN 3,41,0.41,41
DCN,DCN 4,41,0.41,41
DCN,DCN 5,41,0.41,41
DCN,DCN 6,41,0.41,41
DCN,DCN 7,41,0.41,41
DCN,DCN 8,41,0.41,41
DCN,DCN 9,41,0.41,41
DCN,DCN 10,41,0.41,41
Thalamus,Thalamus 1,20,0.2,20
Thalamus,Thalamus 2,20,0.2,20
Thalamus,Thalamus 3,20,0.2,20
Thalamus,Thalamus 4,20,0.2,20
Thalamus,Thalamus 5,20,0.2,20
Thalamus,Thalamus 6,20,0.2,20
Thalamus,Thalamus 7,20,0.2,20
Thalamus,Thalamus 8,20,0.2,20
Thalamus,Thalamus 9,20,0.2,20
Thalamus,Thalamus 10,20,0.2,20
MotorCortex,MotorCortex 1,10,0.1,10
MotorCortex,MotorCortex 2,10,0.1,10
MotorCortex,MotorCortex 3,10,0.1,10
MotorCortex,MotorCortex 4,10,0.1,10
MotorCortex,MotorCortex 5,10,0.1,10
MotorCortex,MotorCortex 6,10,0.1,10
MotorCortex,MotorCortex 7,10,0.1,10
MotorCortex,MotorCortex 8,10,0.1,10
MotorCortex,MotorCortex 9,10,0.1,10
MotorCortex,MotorCortex 10,10,0.1,10
MotorCortex,MotorCortex 11,10,0.1,10
MotorCortex,MotorCortex 12,10,0.1,10
MotorCortex,MotorCortex 13,10,0.1,10
MotorCortex,MotorCortex 14,10,0.1,10
MotorCortex,MotorCortex 15,10,0.1,10
MotorCortex,MotorCortex 16,10,0.1,10
MotorCortex,MotorCortex 17,10,0.1,10
MotorCortex,MotorCortex 18,10,0.1,10
MotorCortex,MotorCortex 19,10,0.1,10
MotorCortex,MotorCortex 20,10,0.1,10
Corticospinal,Corticospinal 1,10,0.1,10
Corticospinal,Corticospinal 2,10,0.1,10
Corticospinal,Corticospinal 3,10,0.1,10
Corticospinal,Corticospinal 4,10,0.1,10
Corticospinal,Corticospinal 5,10,0.1,10
Corticospinal,Corticospinal 6,10,0.1,10
Corticospinal,Corticospinal 7,10,0.1,10
Corticospinal,Corticospinal 8,10,0.1,10
Corticospinal,Corticospinal 9,10,0.1,10
Corticospinal,Corticospinal 10,10,0.1,10
Corticospinal,Corticospinal 11,10,0.1,10
Corticospinal,Corticospinal 12,10,0.1,10
Corticospinal,Corticospinal 13,10,0.1,10
Corticospinal,Corticospinal 14,10,0.1,10
Corticospinal,Corticospinal 15,10,0.1,10
Corticospinal,Corticospinal 16,10,0.1,10
Corticospinal,Corticospinal 17,10,0.1,10
Corticospinal,Corticospinal 18,10,0.1,10
Corticospinal,Corticospinal 19,10,0.1,10
Corticospinal,Corticospinal 20,10,0.1,10
Corticospinal,Corticospinal 21,10,0.1,10
Corticospinal,Corticospinal 22,10,0.1,10
Corticospinal,Corticospinal 23,10,0.1,10
Corticospinal,Corticospinal 24,10,0.1,10
Corticospinal,Corticospinal 25,10,0.1,10
Corticospinal,Corticospinal 26,10,0.1,10
Corticospinal,Corticospinal 27,10,0.1,10
Corticospinal,Corticospinal 28,10,0.1,10
Corticospinal,Corticospinal 29,10,0.1,10
Corticospinal,Corticospinal 30,10,0.1,10
Corticospinal,Corticospinal 31,10,0.1,10
Corticospinal,Corticospinal 32,10,0.1,10
Corticospinal,Corticospinal 33,10,0.1,10
Corticospinal,Corticospinal 34,10,0.1,10
Corticospinal,Corticospinal 35,10,0.1,10
Corticospinal,Corticospinal 36,10,0.1,10
Corticospinal,Corticospinal 37,10,0.1,10
Corticospinal,Corticospinal 38,10,0.1,10
Corticospinal,Corticospinal 39,10,0.1,10
Corticospinal,Corticospinal 40,10,0.1,10
