Neuron Group,Neuron ID,Spike Count,Firing Rate (Hz),Burst Count
Purkinje,Purkinje 1,49,0.49,49
Purkinje,Purkinje 2,49,0.49,49
Purkinje,Purkinje 3,49,0.49,49
Purkinje,Purkinje 4,49,0.49,49
Purkinje,Purkinje 5,49,0.49,49
DCN,DCN 1,47,0.47,47
DCN,DCN 2,47,0.47,47
DCN,DCN 3,47,0.47,47
DCN,DCN 4,47,0.47,47
DCN,DCN 5,47,0.47,47
DCN,DCN 6,47,0.47,47
DCN,DCN 7,47,0.47,47
DCN,DCN 8,47,0.47,47
DCN,DCN 9,47,0.47,47
DCN,DCN 10,47,0.47,47
Thalamus,Thalamus 1,23,0.23,23
Thalamus,Thalamus 2,23,0.23,23
Thalamus,Thalamus 3,23,0.23,23
Thalamus,Thalamus 4,23,0.23,23
Thalamus,Thalamus 5,23,0.23,23
Thalamus,Thalamus 6,23,0.23,23
Thalamus,Thalamus 7,23,0.23,23
Thalamus,Thalamus 8,23,0.23,23
Thalamus,Thalamus 9,23,0.23,23
Thalamus,Thalamus 10,23,0.23,23
MotorCortex,MotorCortex 1,11,0.11,11
MotorCortex,MotorCortex 2,11,0.11,11
MotorCortex,MotorCortex 3,11,0.11,11
MotorCortex,MotorCortex 4,11,0.11,11
MotorCortex,MotorCortex 5,11,0.11,11
MotorCortex,MotorCortex 6,11,0.11,11
MotorCortex,MotorCortex 7,11,0.11,11
MotorCortex,MotorCortex 8,11,0.11,11
MotorCortex,MotorCortex 9,11,0.11,11
MotorCortex,MotorCortex 10,11,0.11,11
MotorCortex,MotorCortex 11,11,0.11,11
MotorCortex,MotorCortex 12,11,0.11,11
MotorCortex,MotorCortex 13,11,0.11,11
MotorCortex,MotorCortex 14,11,0.11,11
MotorCortex,MotorCortex 15,11,0.11,11
MotorCortex,MotorCortex 16,11,0.11,11
MotorCortex,MotorCortex 17,11,0.11,11
MotorCortex,MotorCortex 18,11,0.11,11
MotorCortex,MotorCortex 19,11,0.11,11
MotorCortex,MotorCortex 20,11,0.11,11
Corticospinal,Corticospinal 1,11,0.11,11
Corticospinal,Corticospinal 2,11,0.11,11
Corticospinal,Corticospinal 3,11,0.11,11
Corticospinal,Corticospinal 4,11,0.11,11
Corticospinal,Corticospinal 5,11,0.11,11
Corticospinal,Corticospinal 6,11,0.11,11
Corticospinal,Corticospinal 7,11,0.11,11
Corticospinal,Corticospinal 8,11,0.11,11
Corticospinal,Corticospinal 9,11,0.11,11
Corticospinal,Corticospinal 10,11,0.11,11
Corticospinal,Corticospinal 11,11,0.11,11
Corticospinal,Corticospinal 12,11,0.11,11
Corticospinal,Corticospinal 13,11,0.11,11
Corticospinal,Corticospinal 14,11,0.11,11
Corticospinal,Corticospinal 15,11,0.11,11
Corticospinal,Corticospinal 16,11,0.11,11
Corticospinal,Corticospinal 17,11,0.11,11
Corticospinal,Corticospinal 18,11,0.11,11
Corticospinal,Corticospinal 19,11,0.11,11
Corticospinal,Corticospinal 20,11,0.11,11
Corticospinal,Corticospinal 21,11,0.11,11
Corticospinal,Corticospinal 22,11,0.11,11
Corticospinal,Corticospinal 23,11,0.11,11
Corticospinal,Corticospinal 24,11,0.11,11
Corticospinal,Corticospinal 25,11,0.11,11
Corticospinal,Corticospinal 26,11,0.11,11
Corticospinal,Corticospinal 27,11,0.11,11
Corticospinal,Corticospinal 28,11,0.11,11
Corticospinal,Corticospinal 29,11,0.11,11
Corticospinal,Corticospinal 30,11,0.11,11
Corticospinal,Corticospinal 31,11,0.11,11
Corticospinal,Corticospinal 32,11,0.11,11
Corticospinal,Corticospinal 33,11,0.11,11
Corticospinal,Corticospinal 34,11,0.11,11
Corticospinal,Corticospinal 35,11,0.11,11
Corticospinal,Corticospinal 36,11,0.11,11
Corticospinal,Corticospinal 37,11,0.11,11
Corticospinal,Corticospinal 38,11,0.11,11
Corticospinal,Corticospinal 39,11,0.11,11
Corticospinal,Corticospinal 40,11,0.11,11
